Protei,ProteinB,co_expression
Os11g0157600,Os08g0157600,-0.2567
Os07g0695100,Os08g0157600,0.277
Os03g0284100,Os08g0157600,0.3077
Os10g0114400,Os03g0245700,-0.0851
Os02g0291000,Os03g0126800,-0.0818
Os03g0729500,Os12g0496900,0.6816
Os05g0102600,Os05g0489800,0.7622
Os03g0197400,Os07g0490800,0.7426
Os04g0428900,Os07g0490800,0.624
Os03g0116500,Os07g0490800,0.7676
Os07g0222300,Os07g0490800,0.7384
Os04g0654700,Os07g0490800,0.7998
Os05g0140500,Os12g0287200,0.7574
Os03g0262100,Os12g0287200,0.4582
Os11g0171500,Os03g0718600,-4.00E-04
Os03g0363800,Os05g0364600,0.4452
Os05g0120100,Os05g0364600,0.2631
Os02g0179900,Os02g0135300,0.2
Os09g0423300,Os05g0144800,-0.5591
Os04g0485000,Os05g0144800,0.4728
Os02g0600100,Os05g0144800,0.4285
Os04g0508900,Os05g0144800,0.7073
Os03g0224200,Os08g0557700,-0.0497
Os01g0952500,Os08g0557700,-0.2739
Os03g0717700,Os08g0557700,0.0129
Os01g0923700,Os08g0557700,0.1268
Os03g0370500,Os05g0502800,0.5982
Os02g0580500,Os03g0841700,0.1939
Os05g0458400,Os03g0841700,0.2275
Os02g0580500,Os07g0262200,0.336
Os05g0458400,Os07g0262200,0.5242
Os10g0114400,Os12g0607100,0.0759
Os03g0309200,Os12g0601400,-0.4239
Os04g0664400,Os12g0601400,0.3847
Os01g0264900,Os10g0466300,0.4891
Os04g0348300,Os10g0466300,0.626
Os02g0245800,Os02g0817500,-0.5316
Os02g0146700,Os08g0224700,0.804
Os01g0271500,Os03g0820100,0.6451
Os08g0564300,Os03g0820100,0.264
Os08g0292900,Os03g0159400,0.2672
Os03g0727000,Os03g0159400,0.0806
Os02g0746000,Os01g0893400,-0.3557
Os02g0771100,Os04g0493000,0.747
Os01g0264900,Os06g0608300,0.7439
Os01g0972900,Os12g0626300,0.1793
Os02g0700100,Os12g0626300,0.3214
Os03g0123300,Os12g0626300,-0.2708
Os02g0656300,Os12g0626300,0.2167
Os05g0149900,Os12g0626300,0.3856
Os06g0622500,Os12g0626300,0.3963
Os05g0579800,Os12g0626300,0.2496
Os09g0526600,Os07g0141400,-0.0707
Os04g0488700,Os09g0513600,-0.004
Os08g0292900,Os05g0477200,0.0963
Os03g0732100,Os05g0477200,0.2212
Os12g0636200,Os05g0477200,0.0868
Os03g0727000,Os05g0477200,-0.1266
Os11g0158600,Os05g0477200,0.1303
Os03g0123500,Os05g0477200,0.0774
Os05g0129700,Os05g0477200,-0.1521
Os04g0439900,Os10g0492000,0.3851
Os05g0151400,Os10g0492000,0.6994
Os10g0548800,Os10g0492000,-0.1384
Os01g0757800,Os02g0805200,-0.2797
Os01g0965500,Os02g0805200,0.1685
Os07g0150700,Os01g0846300,0.0149
Os07g0150700,Os03g0268600,-0.2476
Os05g0107700,Os05g0292200,0.5773
Os02g0139200,Os02g0684500,0.5592
Os02g0139200,Os05g0462700,0.3601
Os02g0139200,Os05g0466600,0.5917
Os02g0139200,Os10g0539500,-0.0861
Os06g0217500,Os08g0480500,0.3813
Os02g0595900,Os02g0112100,0.7552
Os02g0805900,Os11g0155000,0.7372
Os06g0300800,Os11g0155000,0.5971
Os01g0111200,Os11g0155000,0.6744
Os07g0134800,Os08g0112800,0.0235
Os02g0452500,Os03g0736500,-0.033
Os11g0456300,Os01g0814700,0.1269
Os01g0911700,Os03g0628900,0.0161
Os03g0319100,Os03g0856400,0.4416
Os01g0855600,Os03g0856400,0.2935
Os07g0212200,Os12g0420200,0.9408
Os07g0695100,Os03g0719800,-0.1789
Os03g0284100,Os03g0719800,-0.1105
Os05g0204900,Os03g0719800,0.1064
Os02g0771100,Os03g0719800,-0.2638
Os06g0142600,Os03g0719800,-0.1021
Os03g0309200,Os03g0719800,0.0779
Os01g0264600,Os03g0719800,0.139
Os03g0339100,Os04g0348300,-0.006
Os01g0264900,Os04g0348300,0.4441
Os02g0827200,Os12g0641400,0.1783
Os05g0491100,Os02g0148100,0.196
Os06g0473200,Os06g0699400,0.1077
Os05g0491100,Os06g0699400,0.4964
Os06g0154500,Os06g0699400,0.2777
Os01g0264900,Os03g0397500,0.4923
Os01g0120800,Os04g0376500,0.8625
Os07g0490800,Os04g0376500,0.7285
Os02g0200900,Os04g0432000,-0.0638
Os01g0369000,Os04g0432000,0.1005
Os03g0633100,Os04g0432000,0.0628
Os05g0449500,Os04g0432000,-0.054
Os10g0114400,Os08g0190200,-0.0525
Os06g0108900,Os05g0567100,-0.3477
Os08g0292900,Os05g0567100,-0.057
Os02g0226600,Os05g0567100,-0.0491
Os03g0727000,Os05g0567100,0.0242
Os11g0158600,Os05g0567100,-0.0815
Os03g0123500,Os05g0567100,0.1204
Os07g0150700,Os08g0155400,0.2655
Os05g0491100,Os09g0466900,0.6381
Os07g0687200,Os09g0466900,0.4624
Os03g0319300,Os09g0466900,0.43
Os01g0267900,Os09g0466900,0.5261
Os06g0606000,Os05g0593100,0.0793
Os05g0586300,Os11g0523700,0.0766
Os05g0597000,Os11g0523700,0.1705
Os01g0551800,Os02g0596900,0.4794
Os01g0208600,Os02g0596900,0.3542
Os09g0280600,Os03g0710100,0.555
Os03g0717700,Os04g0486600,0.0614
Os01g0958000,Os04g0486400,0.5481
Os10g0114400,Os03g0600400,0.0753
Os02g0766700,Os07g0602900,0.3103
Os03g0419100,Os07g0602900,0.3553
Os04g0304200,Os10g0406900,0.568
Os01g0264600,Os10g0406900,-0.2408
Os05g0491100,Os03g0170400,0.1122
Os04g0550400,Os05g0182500,0.3846
Os04g0550400,Os07g0166800,0.4063
Os01g0897000,Os03g0225200,0.0167
Os10g0580300,Os03g0760700,-0.0091
Os09g0299300,Os03g0760700,0.3843
Os03g0118400,Os03g0760700,0.1192
Os01g0264900,Os03g0701900,0.2797
Os10g0580300,Os12g0502300,-0.0373
Os01g0897000,Os12g0502300,0.7098
Os03g0118400,Os12g0502300,0.3053
Os05g0392300,Os12g0502300,0.4457
Os05g0558800,Os03g0254700,0.5022
Os05g0104900,Os04g0457000,-0.3203
Os08g0422200,Os02g0179400,0.0958
Os01g0963300,Os08g0277900,0.3788
Os12g0460800,Os01g0959000,-0.0406
Os04g0129200,Os07g0184900,0.4506
Os07g0446000,Os05g0514500,0.1669
Os01g0338100,Os01g0846900,0.2274
Os03g0725050,Os12g0571900,0.0895
Os11g0176100,Os12g0571900,0.0319
Os06g0677700,Os12g0571900,0.4542
Os03g0187600,Os12g0571900,-0.2381
Os03g0737600,Os05g0392300,0.7071
Os09g0423300,Os05g0392300,-0.3613
Os01g0897000,Os05g0392300,0.5419
Os03g0118400,Os05g0392300,0.0251
Os09g0270900,Os08g0133000,0.4888
Os06g0223300,Os11g0658700,0.3897
Os02g0766700,Os03g0688300,0.0865
Os07g0153000,Os03g0402800,0.1355
Os05g0449500,Os07g0615200,0.3488
Os07g0153000,Os07g0615200,-0.0647
Os03g0402800,Os07g0615200,0.6781
Os01g0205700,Os07g0580500,0.4457
Os12g0169700,Os01g0283100,0.8775
Os02g0817600,Os04g0664400,0.029
Os10g0100300,Os06g0107700,0.9318
Os02g0639000,Os07g0573300,0.0288
Os02g0146700,Os08g0550100,0.6606
Os02g0146700,Os09g0541900,0.7551
Os03g0123300,Os04g0563700,0.1279
Os03g0118400,Os04g0563700,0.3047
Os01g0897000,Os06g0726800,0.5967
Os07g0492000,Os03g0131200,0.3694
Os03g0556600,Os12g0277400,0.0906
Os05g0491100,Os08g0512600,0.4208
Os05g0493500,Os08g0512600,0.8933
Os01g0897000,Os08g0512600,0.742
Os07g0687200,Os08g0512600,0.2127
Os03g0319300,Os08g0512600,0.1997
Os01g0267900,Os08g0512600,0.5553
Os01g0264900,Os02g0106966,0.6461
Os06g0608300,Os02g0106966,0.767
Os03g0152100,Os05g0425700,0.2221
Os02g0114000,Os11g0183700,0.3623
Os02g0194000,Os11g0183700,0.3219
Os04g0670150,Os11g0199200,0.2829
Os02g0746000,Os08g0103600,-0.0845
Os01g0194300,Os04g0637000,0.3304
Os07g0101400,Os02g0752800,-0.1103
Os06g0142600,Os01g0182600,0.2693
Os01g0218500,Os01g0182600,-0.0276
Os08g0157600,Os01g0182600,-0.2532
Os03g0197400,Os04g0654700,0.8537
Os04g0428900,Os04g0654700,0.6702
Os03g0116500,Os04g0654700,0.8651
Os07g0577400,Os04g0654700,0.0491
Os01g0279200,Os04g0654700,0.5789
